iso3,year,month,observed
CYP,2019,5,534.428571428571
CYP,2019,6,442.857142857143
CYP,2019,7,465.285714285714
CYP,2019,8,490.571428571429
CYP,2019,9,440.285714285714
CYP,2019,10,478.428571428572
CYP,2019,11,477.285714285714
CYP,2019,12,511
CYP,2020,1,788.571428571429
CYP,2020,2,566.428571428572
CYP,2020,3,579
CYP,2020,4,500.571428571429
CYP,2020,5,579.714285714286
CYP,2020,6,446.285714285714
CYP,2020,7,488.285714285714
CYP,2020,8,447.428571428571
CYP,2020,9,451.571428571429
CYP,2020,10,479.142857142857
CYP,2020,11,504.142857142857
CYP,2020,12,623.857142857143
CYP,2021,1,610.714285714286
CYP,2021,2,529.857142857143
CYP,2021,3,566.714285714286
CYP,2021,4,638.428571428571
CYP,2021,5,525.857142857143
CYP,2021,6,482
CYP,2021,7,614.428571428572
CYP,2021,8,670.714285714286
CYP,2021,9,542.857142857143
CYP,2021,10,523.285714285714
CYP,2021,11,565.571428571429
CYP,2021,12,672.571428571429
CZE,2015,1,12285
CZE,2015,2,10623
CZE,2015,3,10089.7142857143
CZE,2015,4,9207.14285714286
CZE,2015,5,8861.14285714286
CZE,2015,6,8125.57142857143
CZE,2015,7,8979
CZE,2015,8,9290.71428571429
CZE,2015,9,8365.57142857143
CZE,2015,10,9089.14285714286
CZE,2015,11,8573.85714285714
CZE,2015,12,9684.14285714286
CZE,2016,1,8872.28571428572
CZE,2016,2,9089.28571428571
CZE,2016,3,9560.42857142857
CZE,2016,4,8902
CZE,2016,5,8822.14285714286
CZE,2016,6,8375
CZE,2016,7,8550.85714285714
CZE,2016,8,8493
CZE,2016,9,8270
CZE,2016,10,9105.57142857143
CZE,2016,11,8826.71428571429
CZE,2016,12,10369.7142857143
CZE,2017,1,12281.4285714286
CZE,2017,2,9982
CZE,2017,3,9615.14285714286
CZE,2017,4,8745
CZE,2017,5,8891.14285714286
CZE,2017,6,8389.28571428571
CZE,2017,7,8451.42857142857
CZE,2017,8,8562.57142857143
CZE,2017,9,8622
CZE,2017,10,9400.85714285714
CZE,2017,11,8852.57142857143
CZE,2017,12,9213.57142857143
CZE,2018,1,9955.28571428571
CZE,2018,2,10320.5714285714
CZE,2018,3,11974.1428571429
CZE,2018,4,9247.71428571429
CZE,2018,5,8802.28571428571
CZE,2018,6,8375
CZE,2018,7,9231.57142857143
