source,coverage,iso3,year,month,age,age_cat,sex,deaths
STMF,National,AUT,2014,4,0,0-14,Female,18
STMF,National,AUT,2014,5,0,0-14,Female,12
STMF,National,AUT,2014,6,0,0-14,Female,19
STMF,National,AUT,2014,7,0,0-14,Female,11
STMF,National,AUT,2014,8,0,0-14,Female,12
STMF,National,AUT,2014,9,0,0-14,Female,18
STMF,National,AUT,2014,10,0,0-14,Female,13
STMF,National,AUT,2014,11,0,0-14,Female,12
STMF,National,AUT,2014,12,0,0-14,Female,21
STMF,National,AUT,2014,999,0,0-14,Female,177
STMF,National,AUT,2015,1,0,0-14,Female,19
STMF,National,AUT,2015,2,0,0-14,Female,12
STMF,National,AUT,2015,3,0,0-14,Female,11
