iso3,year,month,adj.ac
CUB,2020,6,8858.50092408951
CUB,2020,7,9437.55431018251
CUB,2020,8,9553.36498740111
CUB,2020,9,8480.59239842881
CUB,2020,10,9225.23473528174
CUB,2020,11,9610.25444287692
CUB,2020,12,11367.7322638259
CYP,2020,1,736.150705733985
CYP,2020,2,628.117013904483
CYP,2020,3,629.638615197857
CYP,2020,4,553.102070141181
CYP,2020,5,633.899098819302
CYP,2020,6,487.977534784806
CYP,2020,7,532.256132421968
CYP,2020,8,487.825374655468
CYP,2020,9,497.563622933057
CYP,2020,10,524.495965825764
CYP,2020,11,569.078883721601
CYP,2020,12,721.999813705613
CYP,2021,1,723.673575128324
CYP,2021,2,582.164654844611
CYP,2021,3,613.661801617437
CYP,2021,4,701.306036115737
CYP,2021,5,577.599850964491
CYP,2021,6,536.212295784738
CYP,2021,7,690.806987191462
CYP,2021,8,753.192640219765
CYP,2021,9,609.705638254667
CYP,2021,10,583.990576396658
CYP,2021,11,625.834611964423
CYP,2021,12,626.59541261111
CZE,2020,1,10226
CZE,2020,2,9802
CZE,2020,3,10219
CZE,2020,4,9279
CZE,2020,5,8795
CZE,2020,6,8847
CZE,2020,7,9178
CZE,2020,8,9379
CZE,2020,9,9459
CZE,2020,10,14189
CZE,2020,11,15751
CZE,2020,12,14165
CZE,2021,1,16164
CZE,2021,2,13769
CZE,2021,3,16729
CZE,2021,4,11658
CZE,2021,5,9512
CZE,2021,6,8568
CZE,2021,7,8955.91715224015
CZE,2021,8,8851.28552743495
CZE,2021,9,9036.95962788456
CZE,2021,10,10319.1673675444
CZE,2021,11,13089.5175662247
CZE,2021,12,13911.375100483
DEU,2020,1,84926.4285714286
DEU,2020,2,79969.8571428572
DEU,2020,3,87772.7142857143
DEU,2020,4,82922
DEU,2020,5,76182.1428571429
DEU,2020,6,72142.7142857143
DEU,2020,7,73911
DEU,2020,8,78694
DEU,2020,9,74212
DEU,2020,10,79977.4285714286
DEU,2020,11,86677
DEU,2020,12,108630.428571429
DEU,2021,1,106407.285714286
DEU,2021,2,81558.1428571429
DEU,2021,3,81644
DEU,2021,4,81664.5714285714
DEU,2021,5,80694.2857142857
DEU,2021,6,76118.5714285714
DEU,2021,7,76358.7142857143
DEU,2021,8,76079.2857142857
DEU,2021,9,77157.8571428571
DEU,2021,10,84625.1428571429
DEU,2021,11,93949.8571428572
DEU,2021,12,101273.571428571
DNK,2020,1,4843.25831920937
DNK,2020,2,4365.23545581979
DNK,2020,3,4887.80884678328
DNK,2020,4,4729.08863922091
DNK,2020,5,4388.87158781238
DNK,2020,6,4194.91205618832
DNK,2020,7,4350.62402876982
DNK,2020,8,4331.71512317575
